Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Timor-Leste,7050,6940,6920,6900,6860,6890,6770,6390,6190,,
Middle East & North Africa (IDA & IBRD countries),1781760,1778740,1829400,1842530,1872290,1845120,1871850,1921440,1970250,,
Tonga,260,250,260,260,270,270,310,340,350,,
South Asia (IDA & IBRD),3145000,3285230,3447020,3529770,3736100,3787030,3858170,4024390,4195430,,
Sub-Saharan Africa (IDA & IBRD countries),2025930,2066530,2122580,2178000,2227230,2242140,2292760,2320270,2360480,,
Trinidad and Tobago,25560,26410,25620,26520,25990,25600,22840,23070,22900,,
Tunisia,37960,36290,37240,37120,39360,40170,39730,40720,41100,,
Turkey,374330,396910,411020,402240,427120,433850,460820,502670,502520,,
Tuvalu,20,20,20,20,20,20,30,30,30,,
Tanzania,75950,81790,87950,93940,97650,103820,104660,103330,105380,,
Uganda,42960,43710,45660,46670,48380,50190,52850,53950,54870,,
Ukraine,369850,391160,379030,368050,332020,279070,290100,264100,274510,,
Upper middle income,18166780,19237680,19717390,20213190,20249620,20173560,20202690,20516590,20858120,,
Uruguay,36010,37550,38420,37420,36900,36660,37050,36110,36160,,
United States,6442580,6214430,5968740,6108670,6129040,6003650,5907270,5842800,6023620,,
Uzbekistan,238390,242350,230380,232950,226090,222860,230900,234920,235510,,
St. Vincent and the Grenadines,330,310,480,300,370,300,350,350,370,,
"Venezuela, RB",260460,259660,279300,284140,285460,270980,257600,243570,233920,,
British Virgin Islands,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,
Vietnam,258430,257880,258290,268770,283000,327320,341580,340420,376530,,
Vanuatu,740,760,760,760,820,810,860,850,870,,
World,41817500,43022060,43582450,44233530,44438190,44423270,44550150,45117640,45873850,,
Samoa,520,530,540,550,570,620,660,670,690,,
Kosovo,,,,,,,,,,,
"Yemen, Rep.",35610,32390,31470,38350,38810,26050,22740,21970,21760,,
South Africa,499720,484250,503110,513020,525050,501090,501550,514600,513440,,
Zambia,32210,32210,36130,37220,37680,38840,39100,39670,40670,,
Zimbabwe,28080,30550,30780,30860,29350,31280,29120,28800,31380,,
