Country name,LL_2010,LL_2011,LL_2012,LL_2013,LL_2014,LL_2015,LL_2016,LL_2017,LL_2018,LL_2019,Class_k3,Class_k4
Greece,0.20142639246922817,-0.2584359906652106,-0.4789505410555763,-0.7175724234488269,-0.7809965871062113,0.05220557175058416,-0.2758586632891933,-0.4858574423333871,-0.2909979592613354,0.1904059801092928,1,3
Guatemala,0.6011171791838978,0.0818527392353898,0.23161695499579749,0.36107994680423927,0.8490749688299744,0.8603889035025722,0.731704799748254,0.5985552887820151,0.8701339469804515,0.4785337446015335,2,0
Honduras,0.22451963792385332,-0.6354135324149315,-0.9408194134889691,-0.7235412507941005,-0.5062654259933711,-0.6945481480867642,0.05331689991906337,0.31754774163656213,0.18470386439601463,0.16995820327435934,1,3
Hungary,-0.7889185568348978,-0.6748540051527371,-0.8650878777255995,-0.5521506370226651,-0.391794108863021,-0.21558914268980148,-0.13655538146772814,0.35900787154326896,0.21139655189582543,0.2350193113855108,1,3
India,-0.5544332952956247,-0.9344273489852706,-0.8304944601546774,-0.9665577927088229,-1.0850324054044211,-1.1773465042283917,-1.3483031069010212,-1.5011699569376116,-1.8077145954113214,-2.3218822373827313,0,1
Indonesia,-0.1387548771123684,-0.4409628296145889,-0.22464217404771591,-0.2298339603778754,-0.010833565453215328,-0.504500286225845,-0.43519871852333486,-0.5319242533408381,-0.35677636774301297,-0.3719078828513707,1,3
Ireland,1.4600082697463097,1.241219193667622,1.2684845248918155,1.0219144028881328,1.2904763676846047,1.2107296589532563,1.3824228696266057,1.2757374105915475,1.1894928867103356,1.401472035378293,2,2
Israel,1.550604848068302,1.631955039860764,1.404988280712211,1.5002732801307965,1.6412164833719975,1.449729242808654,1.4950104535645017,1.525419526251934,1.1561270273355713,1.4730392543005593,2,2
Italy,0.6579620910722065,0.369859912250992,0.21572268205780673,0.38154449770232113,0.38294776547518894,0.26816905113799167,0.3462354445710489,0.4824669250432378,0.7652698175169081,0.6486220700921151,1,0
Japan,0.3941661718405248,0.5588072932739663,0.33633216494021057,0.33891001666465,0.28770762962273755,0.2988838570953119,0.3462354445710489,0.21712209364031848,0.07602649386106831,0.1495104264394267,1,0
Jordan,-0.03838807955957321,-0.10526020119512937,-0.44529208071630105,-0.3321567148682849,-0.25259698723251506,-0.15703904383365985,-0.30639088944184323,-0.7991117571840554,-1.0250468655061429,-1.2028311778709304,1,3
